"","X","shortnam","avexpr","logem4","lat_abst","euro1900","logpgp95","GDP2018","GovEff"
"142",142,"TGO",6.90909099578857,6.50428819656372,0.0888888910412788,0,7.2225661277771,1590.36696678464,12.98077
"143",143,"THA",7.63636350631714,4.94164228439331,0.16666667163372,0,8.77493095397949,18481.8812983726,66.82692
"144",144,"TJK",NA,NA,0.433333337306976,NA,6.8875527381897,3313.51779873858,12.01923
"145",145,"TKM",NA,NA,0.444444447755814,NA,7.64012336730957,15206.9543184033,14.42308
"146",146,"TTO",7.45454549789429,4.44265127182007,0.122222222387791,40,8.76873016357422,26912.9034741267,60.57692
"147",147,"TUN",6.45454549789429,4.14313459396362,0.37777778506279,3,8.4826021194458,11009.5085572357,48.55769
"148",148,"TUR",7.45454549789429,NA,0.433333337306976,0,8.64117908477783,28139.1437269736,53.84615
"149",149,"TWN",9.22727298736572,NA,NA,0,NA,NA,88.46154
"150",150,"TZA",6.63636350631714,5.63478946685791,0.0666666701436043,0,6.25382900238037,3240.26293721191,21.15385
"151",151,"UGA",4.45454549789429,5.63478946685791,0.0111111113801599,0,6.96602439880371,1837.22784098612,29.80769
"152",152,"UKR",NA,NA,0.544444441795349,100,7.81197357177734,9249.46213479507,38.46154
"153",153,"URY",7,4.26268005371094,0.366666674613953,60.0000038146973,9.03121376037598,22116.7755224236,73.07692
"154",154,"USA",10,2.70805025100708,0.422222226858139,87.5,10.2157402038574,62886.8364845596,92.30769
"155",155,"UZB",NA,NA,0.455555558204651,NA,7.80791664123535,6898.90338230155,33.65385
"156",156,"VEN",7.13636350631714,4.35799026489258,0.0888888910412788,20,9.07107830047607,NA,4.807693
"157",157,"VNM",6.40909099578857,4.94164228439331,0.177777782082558,0,7.27931880950928,7771.18552870952,53.36538
"158",158,"YEM",6.36363649368286,NA,0.16666667163372,0,6.64639043807983,NA,0.4807692
"159",159,"YUG",6.31818199157715,NA,0.488888889551163,100,NA,NA,NA
"160",160,"ZAF",6.86363649368286,2.74083995819092,0.322222232818604,22,8.88599395751953,12938.4262549078,66.34615
"161",161,"ZAR",3.5,5.48063898086548,0,8,6.86693334579468,NA,NA
"162",162,"ZMB",6.63636350631714,NA,0.16666667163372,3,6.8134446144104,3598.99572839487,33.17308
"163",163,"ZWE",6,NA,0.222222223877907,7.19999980926514,7.69621276855469,3360.68198737711,10.57692
